Unnamed: 0,n_code,active,last_update,update_count,input_date,lat,lng,x_900913,y_900913,points,extension,date_photo,device_platform,device_model,device_uuid,viewing_angle,rain,bottom,fu_value,fu_processed,fu_observed,sd_depth,application,apk_user_n_code,user_n_code,nickname,user_points,user_photo_count,user_level,p_cloud_cover,p_temperature,p_ph,p_conductivity,p_colour,image,geom,flagged_count,wacodi_processed,image.1,nickname.1,month_year,month,day,image_path,total_pixels,color_pixels,Flag,fu_processed_wacodi_processed,month_year_period,fu_processed_clouds,fu_processed_old,hue_angle,hue_angle_centre,hue_angle_centre_clouds,hue_angle_centre_old,hue_angle_clouds,hue_angle_old,macrophytes,overcast_hue_best,overcast_hue_best_fu,overcast_hue_center,overcast_hue_center_fu,p_chla,p_dissolved_oxygen,p_phycocyanin,p_salinity,sunny_hue_best,sunny_hue_best_fu,sunny_hue_center,sunny_hue_center_fu
,20055,1,3/20/2022 2:21:26 PM,1,3/20/2022 2:21:17 PM,48.7086176,9.0501317,1007456,6225563,10,png,2022-03-20 13:23:28,Android,SM-G970F,e183bce8d3e00fed,7,,,5,6.0,0,0.0,eowcolor,773.0,773.0,komalchhaya,140.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/20055.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/20055.png,komalchhaya,2022-03,3,2022-03-20,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\20055.png,127872.0,74707.0,False,,2022-03,,,,138.37279314261,,,,,,,0.0,195.13669028048,4.0,0.0,0.0,0.0,0.0,,0.0,138.37279314261,6.0
,19965,1,3/10/2022 11:39:05 AM,1,2/28/2022 3:37:54 PM,48.8044324,9.2054617,1024747,6241742,10,png,2022-02-28 14:40:11,Android,SM-J510FN,55a8ce330200daec,6,,1.0,15,15.0,0,50.0,eowcolor,737.0,737.0,ehau,160.0,11.0,2.0,75.0,7.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19965.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19965.png,ehau,2022-02,2,2022-02-28,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19965.png,114624.0,61889.0,False,,2022-02,,,,47.131023443959,,,,,,,0.0,38.123501174356,17.0,0.0,0.0,0.0,0.0,,0.0,47.131023443959,15.0
,19945,1,2/24/2022 9:52:48 AM,1,2/24/2022 9:52:41 AM,48.4746423,9.1750127,1021357,6186184,0,png,2022-02-24 08:41:13,Android,SM-G950F,d14aaee0bdd2bdac,19,,,14,15.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19945.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19945.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19945.png,21450.0,12088.0,False,,2022-02,,,,45.334057795871,,,,,,,0.0,165.46323965766,5.0,0.0,0.0,0.0,0.0,,0.0,45.334057795871,15.0
,19944,1,2/24/2022 9:50:55 AM,1,2/24/2022 9:50:48 AM,48.5200511,9.1902018,1023048,6193813,10,png,2022-02-24 08:43:49,Android,SM-G950F,d14aaee0bdd2bdac,19,,,14,14.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19944.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19944.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19944.png,4606.0,2349.0,False,,2022-02,,,54.539959490532,55.549162765688,,,,,,,0.0,51.185931996936,14.0,0.0,0.0,0.0,0.0,54.539959490532,14.0,55.549162765688,14.0
,19942,1,2/24/2022 9:49:58 AM,1,2/24/2022 9:49:49 AM,48.4746423,9.1750127,1021357,6186184,0,png,2022-02-24 08:42:05,Android,SM-G950F,d14aaee0bdd2bdac,17,,,14,13.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19942.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19942.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19942.png,10148.0,2810.0,False,,2022-02,,,,61.430528625726,,,,,,,0.0,53.719357927513,14.0,0.0,0.0,0.0,0.0,,0.0,61.430528625726,13.0
,19940,1,2/24/2022 9:50:11 AM,1,2/24/2022 9:48:57 AM,48.4746423,9.1750127,1021357,6186184,0,png,2022-02-24 08:46:32,Android,SM-G950F,d14aaee0bdd2bdac,17,,,15,15.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19940.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19940.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19940.png,20049.0,12724.0,False,,2022-02,,,,49.231578068432,,,,,,,0.0,44.070300577925,16.0,0.0,0.0,0.0,0.0,,0.0,49.231578068432,15.0
,19932,1,2/24/2022 9:40:41 AM,1,2/24/2022 9:40:34 AM,48.4746423,9.1750127,1021357,6186184,0,png,2022-02-24 08:41:39,Android,SM-G950F,d14aaee0bdd2bdac,19,,,14,14.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19932.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19932.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19932.png,9801.0,2440.0,False,,2022-02,,,55.333101110684,65.054577105163,,,,,,,0.0,57.290698423459,13.0,0.0,0.0,0.0,0.0,55.333101110684,14.0,65.054577105163,12.0
,19924,1,2/24/2022 9:25:58 AM,1,2/24/2022 9:25:51 AM,48.4761147,9.1762875,1021499,6186432,0,png,2022-02-24 08:28:03,Android,SM-G950F,d14aaee0bdd2bdac,17,,,17,17.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19924.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19924.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19924.png,3162.0,1225.0,False,,2022-02,,,,35.741692568858,,,,,,,0.0,24.638081051455,20.0,0.0,0.0,0.0,0.0,,0.0,35.741692568858,17.0
,19923,1,2/24/2022 9:24:16 AM,1,2/24/2022 9:24:09 AM,48.4746423,9.1750127,1021357,6186184,0,png,2022-02-24 08:26:22,Android,SM-G950F,d14aaee0bdd2bdac,15,,,17,16.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19923.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19923.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19923.png,9506.0,307.0,True,17.0,2022-02,,,41.719013889559,44.543556169318,,,,,,34.983887088794,17.0,38.456453111716,17.0,0.0,0.0,0.0,0.0,41.719013889559,16.0,44.543556169318,16.0
,19920,1,2/24/2022 9:21:14 AM,1,2/24/2022 9:21:06 AM,48.4746423,9.1750127,1021357,6186184,0,png,2022-02-24 08:23:19,Android,SM-G950F,d14aaee0bdd2bdac,19,,,17,17.0,0,0.0,eowcolor,714.0,714.0,lindy,410.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,https://eyeonwater.org/media/eyeonwater_upload/19920.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/19920.png,lindy,2022-02,2,2022-02-24,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\19920.png,1120.0,721.0,False,,2022-02,,,,37.17060688078,,,,,,,0.0,20.908339529374,21.0,0.0,0.0,0.0,0.0,,0.0,37.17060688078,17.0
